name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Igatpuri,CHC,Community Health Centre,"Borli, IGATPURI",Nashik,MAHARASHTRA,19.635709999889173,73.57099000038609,107,182994
Nandgaon,CHC,Community Health Centre,"Borli, IGATPURI",Nashik,MAHARASHTRA,19.635709999889173,73.57099000038609,108,182994
Ghoti,CHC,Community Health Centre,"Senvad Bk, IGATPURI",Nashik,MAHARASHTRA,19.685840000209087,73.65828999997056,113,183048
Dodi,CHC,Community Health Centre,"Dhondvirnagar, SINNAR",Nashik,MAHARASHTRA,19.788989999194307,74.01535000012649,214,183647
Trimbak,CHC,Community Health Centre,"Bhilmal, TRIMBAKESHWAR",Nashik,MAHARASHTRA,19.885509999902602,73.5336599994097,217,183839
NSKMC Indira Gandhi Hospital,CHC,Community Health Centre,"Torangan, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.00000000010393,73.47000000016341,219,183861
Yeola,CHC,Community Health Centre,"Chichodi Bk., YEVLA",Nashik,MAHARASHTRA,20.0259799997068,74.42968999998915,220,183890
Harsul,CHC,Community Health Centre,"Shirasgaon, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.090090000290267,73.40226000022034,222,183851
Nagarsul,CHC,Community Health Centre,"Mamdapur, YEVLA",Nashik,MAHARASHTRA,20.137309999559676,74.59752999967708,224,183920
Lasalgaon,CHC,Community Health Centre,"Vaki Kh, CHANDVAD",Nashik,MAHARASHTRA,20.175069999643817,74.27477000011217,225,182812
Zodga,CHC,Community Health Centre,"Rapali, CHANDVAD",Nashik,MAHARASHTRA,20.236900000463006,74.39740999965505,227,182814
Dindori,CHC,Community Health Centre,"Kadawa Mhalungi, DINDORI",Nashik,MAHARASHTRA,20.244300000164746,73.81660000008301,228,182904
Peint,CHC,Community Health Centre,"Peint, PEINT",Nashik,MAHARASHTRA,20.258447000359077,73.50305299990117,229,183605
Surgana,CHC,Community Health Centre,"Jamale, PEINT",Nashik,MAHARASHTRA,20.3002499999146,73.49055999988755,232,183556
Vani,CHC,Community Health Centre,"Charose, DINDORI",Nashik,MAHARASHTRA,20.335580000754742,73.67512999974636,235,182874
Umrane,CHC,Community Health Centre,"Mahatma Fule Nagar, DEOLA",Nashik,MAHARASHTRA,20.4174499997298,74.3184999998212,238,182834
Girnare,CHC,Community Health Centre,"Mahatma Fule Nagar, DEOLA",Nashik,MAHARASHTRA,20.4174499997298,74.3184999998212,239,182834
Deola,CHC,Community Health Centre,"Bhilwad, DEOLA",Nashik,MAHARASHTRA,20.429979999676256,74.20398000059059,240,182855
Abhona,CHC,Community Health Centre,"Dhekale, KALWAN",Nashik,MAHARASHTRA,20.521290000326232,73.93113999940515,243,183091
Dabhadi,CHC,Community Health Centre,"Patane, MALEGAON",Nashik,MAHARASHTRA,20.537000000015688,74.45660000001389,244,183236
Satana,CHC,Community Health Centre,"Kautikpada, BAGLAN",Nashik,MAHARASHTRA,20.637799999612906,74.17705000047437,246,237156
Dangsaundane,CHC,Community Health Centre,"Kautikpada, BAGLAN",Nashik,MAHARASHTRA,20.6378300005248,74.17707999971326,247,237156
