name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
RH Shriwadhan,CHC,Community Health Centre,"Wanaste, TALA",Raigarh,MAHARASHTRA,18.25972000037347,73.12620000047536,1,187423
Newasa,CHC,Community Health Centre,"Nevasa Kh.(Rural), NEVASA",Ahmadnagar,MAHARASHTRA,19.550487999383687,74.92745400075074,100,168100
Pachod,CHC,Community Health Centre,"Pachod Bk., PAITHAN",Aurangabad,MAHARASHTRA,19.572336109989106,75.6265055598754,101,170693
Loni,CHC,Community Health Centre,"Loni Bk., RAHTA",Ahmadnagar,MAHARASHTRA,19.579200000212825,74.46876499996449,102,168384
NSKMC Swami Samarth Hospital,CHC,Community Health Centre,"Susarwadi, SHAHAPUR",Thane,MAHARASHTRA,19.580000000192147,73.45999999933636,103,192531
Khardi,CHC,Community Health Centre,"Khardi, SHAHAPUR",Thane,MAHARASHTRA,19.58229199970443,73.39296300027338,104,192470
NSKMC Dr Zakir Hussain Hospital,CHC,Community Health Centre,"Susarwadi, SHAHAPUR",Thane,MAHARASHTRA,19.58999999937912,73.47000000016341,105,192531
Etapalli,CHC,Community Health Centre,"Jiwangatta, ETAPALLI",Gadchiroli,MAHARASHTRA,19.599950999894137,80.22808999984797,106,174974
Igatpuri,CHC,Community Health Centre,"Borli, IGATPURI",Nasik,MAHARASHTRA,19.635709999889173,73.57099000038609,107,182994
Nandgaon,CHC,Community Health Centre,"Borli, IGATPURI",Nasik,MAHARASHTRA,19.635709999889173,73.57099000038609,108,182994
Khadki Cantonment Board,CHC,Community Health Centre,"Kambegi, VELHE",Pune,MAHARASHTRA,18.342049999803766,73.5116799994783,11,186607
Samsherpur,CHC,Community Health Centre,"Ghodsarwadi, AKOLA",Ahmadnagar,MAHARASHTRA,19.647480000408862,73.96431699988982,109,167591
Mantha,CHC,Community Health Centre,"Mantha, MANTHA",Jalna,MAHARASHTRA,19.648165000049612,76.38721000072894,110,236878
Mulchera,CHC,Community Health Centre,"Jamgaon, MULCHERA",Gadchiroli,MAHARASHTRA,19.679364000432212,80.00428699983007,111,175132
Asti,CHC,Community Health Centre,"Ashti, CHAMORSHI",Gadchiroli,MAHARASHTRA,19.6831889998634,79.80389900001944,112,174817
Ghoti,CHC,Community Health Centre,"Senvad Bk, IGATPURI",Nasik,MAHARASHTRA,19.685840000209087,73.65828999997056,113,183048
Wada,CHC,Community Health Centre,"Dahe, VADA",Thane,MAHARASHTRA,19.68601099966029,73.17331299984886,114,192632
Bidkin,CHC,Community Health Centre,"Bidkin, PAITHAN",Aurangabad,MAHARASHTRA,19.70421389000898,75.29803611001147,115,170631
Manor,CHC,Community Health Centre,"Manor (CT), PALGHAR",Thane,MAHARASHTRA,19.724854999708185,72.90975400051346,116,192369
RH Jaswali,CHC,Community Health Centre,"Neharunagar, ROHA",Raigarh,MAHARASHTRA,18.42641999997695,73.24371999995412,19,187293
RH Roha,CHC,Community Health Centre,"Chitmodi, VELHE",Pune,MAHARASHTRA,18.269289999903744,73.73680000066965,2,186585
Chakan,CHC,Community Health Centre,"Vegre, MULSHI",Pune,MAHARASHTRA,18.451746999924147,73.51367399979597,21,186392
Puntamba,CHC,Community Health Centre,"Puntamba, RAHTA",Ahmadnagar,MAHARASHTRA,19.76552999928439,74.61093099971193,213,168398
Dodi,CHC,Community Health Centre,"Dhondvirnagar, SINNAR",Nasik,MAHARASHTRA,19.788989999194307,74.01535000012649,214,183647
vikramgad,CHC,Community Health Centre,"Vikramgad, VIKRAMGAD",Thane,MAHARASHTRA,19.801486000416105,73.09448299948266,215,192615
Vangaon,CHC,Community Health Centre,"Vangaon, DAHANU",Thane,MAHARASHTRA,19.87413399978615,72.75438300054977,216,192041
Kanhe Phata,CHC,Community Health Centre,"Koshimbale, SUDHAGAD",Raigarh,MAHARASHTRA,18.452790999896404,73.35380900065533,22,187369
Trimbak,CHC,Community Health Centre,"Bhilmal, TRIMBAKESHWAR",Nasik,MAHARASHTRA,19.885509999902602,73.5336599994097,217,183839
Mokhada,CHC,Community Health Centre,"Sakhari, MOKHADA",Thane,MAHARASHTRA,19.904241000721562,73.3227539996365,218,192168
